Type,Name
Health & Wellness,Paani
Service/Service Learning,Paani
Environmental,Paani
Department,Paid Research Pool
Activism,Palestinian Empowerment Foundation
Graduate/Professional,Palestinian Empowerment Foundation
Activism,Panel For Your Thoughts
Science/Technology/Engineering,Panel For Your Thoughts
Governance,Panhellenic Association 
Service/Service Learning,Panhellenic Association 
Social Fraternity/Sorority,Panhellenic Association 
Service/Service Learning,Pantanal Partnership
Environmental,Pantanal Partnership
Service/Service Learning,Paper Airplanes at UM
Academic/Honor Societies,Para Consulting Group
Creative & Performing Arts,Para Consulting Group
Media & Creative Writing,Para Consulting Group
Governance,Part-Time MBA Association
Graduate/Professional,Part-Time MBA Association
Service/Service Learning,Part-Time MBA Association
Activism,Partners in Health Engage at the University of Michigan
Health & Wellness,Partners in Health Engage at the University of Michigan
Service/Service Learning,Partners in Health Engage at the University of Michigan
Academic/Honor Societies,Pay It Forward!
Service/Service Learning,Pay It Forward!
Health & Wellness,Peaks and Professors at the University of Michigan
Sport Clubs & Recreation,Peaks and Professors at the University of Michigan
Environmental,Peaks and Professors at the University of Michigan
Activism,Pedagogy of Action Ambassadors
Cultural/Ethnic,Pedagogy of Action Ambassadors
Health & Wellness,Pedagogy of Action Ambassadors
Media & Creative Writing,Pedagogy of Action Ambassadors
Gender/Sexuality,Pedagogy of Action Ambassadors
Activism,Peer Advisor for Community Service 
Cultural/Ethnic,Peer Advisor for Community Service 
Health & Wellness,Peer Advisor for Community Service 
Service/Service Learning,Peer Advisor for Community Service 
Environmental,Peer Advisor for Community Service 
Cultural/Ethnic,Peer Led Support Group for People of Color
Health & Wellness,Peer Led Support Group for People of Color
Gender/Sexuality,Peer Led Support Group for People of Color
Activism,People of the Global Majority for the Environment
Cultural/Ethnic,People of the Global Majority for the Environment
Graduate/Professional,People of the Global Majority for the Environment
Environmental,People of the Global Majority for the Environment
Service/Service Learning,Perfect Pair
Creative & Performing Arts,Performance Ark
Cultural/Ethnic,PERMIAS
Graduate/Professional,PERMIAS
Creative & Performing Arts,Persian Students Association 
Cultural/Ethnic,Persian Students Association 
Activism,Pets Are Wonderful Support of Ann Arbor
Health & Wellness,Pets Are Wonderful Support of Ann Arbor
Service/Service Learning,Pets Are Wonderful Support of Ann Arbor
Graduate/Professional,Pharmacy Christian Fellowship
Health & Wellness,Pharmacy Christian Fellowship
Religious/Spiritual,Pharmacy Christian Fellowship
Governance,Pharmacy Student Government Council
Graduate/Professional,Pharmacy Student Government Council
Service/Service Learning,Pharmacy Student Government Council
Religious/Spiritual,Phi Alpha Kappa
Academic/Honor Societies,Phi Beta Lambda
Social Fraternity/Sorority,Phi Beta Lambda
Business & Entrepreneurship,Phi Beta Lambda
Social Fraternity/Sorority,"Phi Beta Sigma Fraternity, Inc."
Academic/Honor Societies,Phi Chi Pre-Medical Fraternity
Academic/Honor Societies,Phi Chi Theta
Graduate/Professional,Phi Chi Theta
Service/Service Learning,Phi Chi Theta
Graduate/Professional,Phi Delta Chi 
Academic/Honor Societies,Phi Delta Epsilon International Medical Fraternity
Graduate/Professional,Phi Delta Epsilon International Medical Fraternity
Health & Wellness,Phi Delta Epsilon International Medical Fraternity
Service/Service Learning,Phi Delta Epsilon International Medical Fraternity
Academic/Honor Societies,Phi Epsilon Kappa
Graduate/Professional,Phi Epsilon Kappa
Health & Wellness,Phi Epsilon Kappa
Service/Service Learning,Phi Epsilon Kappa
Academic/Honor Societies,Phi Gamma Nu
Graduate/Professional,Phi Gamma Nu
Business & Entrepreneurship,Phi Gamma Nu
Cultural/Ethnic,Phi Iota Alpha Latino Fraternity Inc. 
Health & Wellness,Phi Iota Alpha Latino Fraternity Inc. 
Social Fraternity/Sorority,Phi Iota Alpha Latino Fraternity Inc. 
Academic/Honor Societies,Phi Lambda Sigma
Service/Service Learning,Phi Lambda Sigma
Creative & Performing Arts,Phi Mu Alpha Sinfonia Fraternity of America - Epsilon Chapter
Social Fraternity/Sorority,Phi Mu Alpha Sinfonia Fraternity of America - Epsilon Chapter
Academic/Honor Societies,Phi Sigma Pi
Graduate/Professional,Phi Sigma Pi
Service/Service Learning,Phi Sigma Pi
Science/Technology/Engineering,Phi Sigma Rho - Eta Chapter
Service/Service Learning,Phi Sigma Rho - Eta Chapter
Social Fraternity/Sorority,Phi Sigma Rho - Eta Chapter
Academic/Honor Societies,Phoenix Honors Society
Service/Service Learning,Phoenix Honors Society
Creative & Performing Arts,Photography at Ross 
Creative & Performing Arts,Photonix/UAC
Graduate/Professional,Physical Medicine and Rehabilitation Student Interest Group
Graduate/Professional,Physician Golfer's Association at UofM
Health & Wellness,Physician Golfer's Association at UofM
Sport Clubs & Recreation,Physician Golfer's Association at UofM
Graduate/Professional,Physics Graduate Council
Cultural/Ethnic,Pi Alpha Phi
Social Fraternity/Sorority,Pi Alpha Phi
Service/Service Learning,Pi Beta Phi
Social Fraternity/Sorority,Pi Beta Phi
Social Fraternity/Sorority,"Pi Chapter of Alpha Epsilon Phi Sorority, Incorporated"
Social Fraternity/Sorority,Pi Kappa Alpha
Academic/Honor Societies,Pi Sigma Alpha (Political Science Honor Society)
Academic/Honor Societies,Pi Sigma Epsilon
Graduate/Professional,Pi Sigma Epsilon
Service/Service Learning,Pi Sigma Epsilon
Business & Entrepreneurship,Pi Sigma Epsilon
Academic/Honor Societies,Pi Tau Sigma
Activism,Pinky Swear PACK at the University of Michigan
Health & Wellness,Pinky Swear PACK at the University of Michigan
Activism,Planetary Health Interest Group
Science/Technology/Engineering,Planetary Health Interest Group
Health & Wellness,Planetary Health Interest Group
Environmental,Planetary Health Interest Group
Graduate/Professional,Planning and Architecture Research Group
Sport Clubs & Recreation,Poker Networking Club
Activism,Policy for the People
Graduate/Professional,Policy for the People
Academic/Honor Societies,Pre-Dental Association
Health & Wellness,Pre-Dental Association
Academic/Honor Societies,Pre-Med Hub
Graduate/Professional,Pre-Med Hub
Health & Wellness,Pre-Med Hub
Science/Technology/Engineering,Pre-Medical Club
Graduate/Professional,Pre-Medical Club
Service/Service Learning,Pre-Medical Club
Academic/Honor Societies,Pre-Pharmacy Student Organization
Science/Technology/Engineering,Pre-Pharmacy Student Organization
Health & Wellness,Pre-Pharmacy Student Organization
Service/Service Learning,Pre-Pharmacy Student Organization
Science/Technology/Engineering,Pre-Physical and Occupational Therapy Club
Graduate/Professional,Pre-Physical and Occupational Therapy Club
Health & Wellness,Pre-Physical and Occupational Therapy Club
Service/Service Learning,Pre-Physical and Occupational Therapy Club
Academic/Honor Societies,Pre-Physician Assistant Club
Graduate/Professional,Pre-Physician Assistant Club
Health & Wellness,Pre-Physician Assistant Club
Service/Service Learning,Pre-Physician Assistant Club
Academic/Honor Societies,Pre-Speech and Hearing Club
Graduate/Professional,Pre-Speech and Hearing Club
Academic/Honor Societies,Pre-Surgical Club
Graduate/Professional,Pre-Surgical Club
Service/Service Learning,Pre-Surgical Club
Academic/Honor Societies,Pre-Vet Club
Science/Technology/Engineering,Pre-Vet Club
Graduate/Professional,Pre-Vet Club
Service/Service Learning,Pre-Vet Club
Service/Service Learning,Prenatal Partners
Graduate/Professional,Preventive Medicine Interest Group
Activism,Prison Birth Project
Service/Service Learning,Prison Birth Project
Gender/Sexuality,Prison Birth Project
Activism,Privacy and Technology Law Association
Governance,Privacy and Technology Law Association
Graduate/Professional,Privacy and Technology Law Association
Graduate/Professional,Private Equity Club
Service/Service Learning,Private Equity Club
Academic/Honor Societies,Professional Fraternity Council
Graduate/Professional,Professional Fraternity Council
Health & Wellness,Professional Fraternity Council
Service/Service Learning,Professional Fraternity Council
Activism,Program in the Environment Club
Academic/Honor Societies,Program in the Environment Club
Service/Service Learning,Program in the Environment Club
Environmental,Program in the Environment Club
Activism,Project HEAL at the University of Michigan
Health & Wellness,Project HEAL at the University of Michigan
Service/Service Learning,Project HEAL at the University of Michigan
Health & Wellness,Project Healthy Schools Global
Service/Service Learning,Project Healthy Schools Global
Science/Technology/Engineering,Project RISHI at University of Michigan
Health & Wellness,Project RISHI at University of Michigan
Service/Service Learning,Project RISHI at University of Michigan
Activism,Project SOAR
Academic/Honor Societies,Project SOAR
Creative & Performing Arts,Project SOAR
Health & Wellness,Project Sunshine
Service/Service Learning,Project Sunshine
Health & Wellness,Project WriteOn
Media & Creative Writing,Project WriteOn
Service/Service Learning,Project WriteOn
Academic/Honor Societies,Propel Business Club
Graduate/Professional,Propel Business Club
Service/Service Learning,Propel Business Club
Business & Entrepreneurship,Propel Business Club
Graduate/Professional,Property Tax Appeal Project
Cultural/Ethnic,"Proyecto Avance, Latino Mentoring Association"
Service/Service Learning,"Proyecto Avance, Latino Mentoring Association"
Academic/Honor Societies,Psi Chi
Graduate/Professional,Psi Chi
Activism,Psi Upsilon Fraternity
Academic/Honor Societies,Psi Upsilon Fraternity
Social Fraternity/Sorority,Psi Upsilon Fraternity
Service/Service Learning,Public Benefits Advocacy Project
Science/Technology/Engineering,Public Health Association
Graduate/Professional,Public Health Association
Health & Wellness,Public Health Association
Service/Service Learning,Public Health Association
Environmental,Public Health Association
Activism,Public Health Student Assembly
Governance,Public Health Student Assembly
Graduate/Professional,Public Health Student Assembly
Health & Wellness,Public Health Student Assembly
Service/Service Learning,Public Health Student Assembly
Activism,Public Health Students of African Descent
Cultural/Ethnic,Public Health Students of African Descent
Graduate/Professional,Public Health Students of African Descent
Health & Wellness,Public Health Students of African Descent
Activism,Public Health Sustainability Initiative
Graduate/Professional,Public Health Sustainability Initiative
Environmental,Public Health Sustainability Initiative
Activism,Public Interest Research Group in Michigan Students
Environmental,Public Interest Research Group in Michigan Students
Graduate/Professional,Public Speaking at Ross
Cultural/Ethnic,Puentes
Graduate/Professional,Puentes
Health & Wellness,PULSE
Creative & Performing Arts,Pure Dance
Health & Wellness,Pure Dance
Sport Clubs & Recreation,Pure Dance
Creative & Performing Arts,Qingyun Chinese Music Ensemble at U of M
Cultural/Ethnic,Qingyun Chinese Music Ensemble at U of M
Academic/Honor Societies,Quantitative Investment Society
Graduate/Professional,Quantitative Investment Society
Activism,Queer Advocacy Coalition
Graduate/Professional,Queer Advocacy Coalition
Health & Wellness,Queer Advocacy Coalition
Service/Service Learning,Queer Advocacy Coalition
Gender/Sexuality,Queer Advocacy Coalition
Creative & Performing Arts,Raas Association
Cultural/Ethnic,Raas Association
Governance,Rackham Student Government
Graduate/Professional,Rackham Student Government
Service/Service Learning,Rackham Student Government
Religious/Spiritual,Ratio Christi
Health & Wellness,Raw Strength and Courage Kayak Club
