2018 SOC Code,2018 SOC Major Group,2018 SOC Minor Group,2018 SOC Title,2018 SOC Direct Match Title,Illustrative Example
49-2011,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Computer, Automated Teller, and Office Machine Repairers",ATM Servicer,x
49-2011,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Computer, Automated Teller, and Office Machine Repairers",Cash Register Servicer,x
49-2011,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Computer, Automated Teller, and Office Machine Repairers",Computer Repair Technician,
49-2011,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Computer, Automated Teller, and Office Machine Repairers",Computer Repairer,
49-2011,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Computer, Automated Teller, and Office Machine Repairers",Computer Service Technician,
49-2011,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Computer, Automated Teller, and Office Machine Repairers",Copier Technician,
49-2011,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Computer, Automated Teller, and Office Machine Repairers",Copying Machine Repairer,
49-2011,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Computer, Automated Teller, and Office Machine Repairers",Data Processing Equipment Repairer,x
49-2011,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Computer, Automated Teller, and Office Machine Repairers",Photocopying Equipment Repairer,
49-2011,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Computer, Automated Teller, and Office Machine Repairers",Printer Repair Technician,
49-2021,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Radio, Cellular, and Tower Equipment Installers and Repairers",Radio Frequency Technician,x
49-2021,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Radio, Cellular, and Tower Equipment Installers and Repairers",Radio Mechanic,x
49-2021,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Radio, Cellular, and Tower Equipment Installers and Repairers",Radio Repairer,
49-2021,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Radio, Cellular, and Tower Equipment Installers and Repairers",Two-Way Radio Technician,x
49-2022,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Telecommunications Equipment Installers and Repairers, Except Line Installers",Communications Equipment Installer,
49-2022,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Telecommunications Equipment Installers and Repairers, Except Line Installers",Fiber Optic Central Office Installer,x
49-2022,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Telecommunications Equipment Installers and Repairers, Except Line Installers",Headend Technician,
49-2022,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Telecommunications Equipment Installers and Repairers, Except Line Installers",Private Branch Exchange (PBX ) Installer and Repairer,x
49-2022,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Telecommunications Equipment Installers and Repairers, Except Line Installers",Switchboard Wirer,
49-2022,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Telecommunications Equipment Installers and Repairers, Except Line Installers",Telecommunications Switch Technician,
49-2091,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers",Avionics Technicians,Aircraft Armament Mechanic,
49-2091,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers",Avionics Technicians,Aircraft Electrician,x
49-2091,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers",Avionics Technicians,Aircraft Instrument Mechanic,x
49-2091,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers",Avionics Technicians,Airplane Electrician,
49-2091,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers",Avionics Technicians,Automatic Pilot Mechanic,x
49-2091,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers",Avionics Technicians,Aviation Electronics Technician,
49-2091,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers",Avionics Technicians,In-Flight Refueling System Repairer,
49-2092,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electric Motor, Power Tool, and Related Repairers",AC/DC Rewinder,
49-2092,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electric Motor, Power Tool, and Related Repairers",Armature Rewinder,x
49-2092,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electric Motor, Power Tool, and Related Repairers",Battery Repairer,
49-2092,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electric Motor, Power Tool, and Related Repairers",Dynamo Repairer,
49-2092,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electric Motor, Power Tool, and Related Repairers",Electric Motor Fitter,
49-2092,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electric Motor, Power Tool, and Related Repairers",Electric Motor Rewinder,
49-2092,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electric Motor, Power Tool, and Related Repairers",Electrical Parts Reconditioner,x
49-2093,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electrical and Electronics Installers and Repairers, Transportation Equipment",Locomotive Electrician,x
49-2093,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electrical and Electronics Installers and Repairers, Transportation Equipment",Marine Electronics Repairer,x
49-2093,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electrical and Electronics Installers and Repairers, Transportation Equipment",Marine Electronics Technician,
49-2094,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electrical and Electronics Repairers, Commercial and Industrial Equipment",Industrial Aerial Installer,
49-2094,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electrical and Electronics Repairers, Commercial and Industrial Equipment",Industrial Robotics Mechanic,x
49-2094,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electrical and Electronics Repairers, Commercial and Industrial Equipment",Missile Pad Mechanic,x
49-2094,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electrical and Electronics Repairers, Commercial and Industrial Equipment",Public Address System Mechanic,x
49-2095,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Generating Station Mechanic,
49-2095,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Power Transformer Repairer,x
49-2095,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Powerhouse Electrician,x
49-2095,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Protective Relay Technician,
49-2095,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Relay Technician,x
49-2095,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Substation Electrician,
49-2095,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Substation Mechanic,
49-2096,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electronic Equipment Installers and Repairers, Motor Vehicles",Auto Electrician,
49-2096,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electronic Equipment Installers and Repairers, Motor Vehicles",Auto Phone Installer,
49-2096,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electronic Equipment Installers and Repairers, Motor Vehicles",Auto Radio Mechanic,
49-2096,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electronic Equipment Installers and Repairers, Motor Vehicles",Automotive Electrician,x
